Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-01-01,Travel,Cash,Baggage Fees,1711.0,71.69
2023-01-02,Dining Out,Online,Lunch Takeaway,489.99,3.56
2023-01-02,Transportation,Cash,Public Transit Pass,788.6,0.42
2023-01-02,Clothing,Cash,Formal Wear,5068.03,425.28
2023-01-02,Clothing,Cash,Athletic Wear,2712.13,145.42
2023-01-02,Dining Out,Online,Beverages At Bars,335.67,13.77
2023-01-03,Subscriptions,Online,Gaming Subscriptions,732.94,11.47
2023-01-03,Utilities,Cash,Gas Bill,904.28,68.6
2023-01-03,Dining Out,Cash,Coffee Shop Visit,160.49,13.01
2023-01-03,Dining Out,Cash,Coffee Shop Visit,313.48,24.47
2023-01-04,Utilities,Cash,Sewer Charges,277.18,8.77
2023-01-05,Groceries,Online,Fruits And Vegetables,1253.0,10.31
2023-01-05,Clothing,Online,Formal Wear,8118.31,370.82
2023-01-06,Groceries,Online,Organic Produce,2501.0,105.99
2023-01-06,Dining Out,Online,Coffee Shop Visit,218.9,4.45
2023-01-07,Dining Out,Cash,Dinner At A Restaurant,1000.73,88.95
2023-01-07,Dining Out,Online,Dinner At A Restaurant,2147.84,165.18
2023-01-08,Clothing,Online,Casual Wear,1837.81,82.82
2023-01-09,Utilities,Cash,Mobile Phone Bill,384.16,36.56
2023-01-09,Housing,Cash,HOA Fees,1061.58,18.02
2023-01-09,Dining Out,Online,Coffee Shop Visit,285.72,24.67
2023-01-10,Dining Out,Online,Special Occasion Dinner,1384.39,26.1
2023-01-10,Dining Out,Cash,Brunch With Friends,916.2,7.62
2023-01-10,Housing,Online,Rent Payment,15892.26,707.93
2023-01-11,Health & Fitness,Online,Yoga Classes,907.7,57.45
2023-01-11,Transportation,Online,Public Transit Pass,1141.38,73.14
2023-01-12,Housing,Online,Home Repairs,4268.64,228.04
2023-01-12,Dining Out,Online,Coffee Shop Visit,131.45,6.29
2023-01-13,Utilities,Online,Waste Disposal Fees,498.04,2.82
2023-01-14,Transportation,Cash,Ride-Sharing Services,778.42,18.46
