Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-10-01,Entertainment,Cash,Board Games,749.06,33.09
2023-10-01,Health & Fitness,Online,Nutritional Supplements,1809.58,151.33
2023-10-01,Health & Fitness,Online,Wellness Programs,912.85,14.61
2023-10-02,Entertainment,Cash,Theater Performances,1245.8,57.51
2023-10-03,Health & Fitness,Cash,Health Screenings,957.74,88.06
2023-10-03,Subscriptions,Online,Streaming Services,912.73,21.03
2023-10-03,Transportation,Cash,Car Maintenance,2620.66,75.32
2023-10-03,Groceries,Cash,Fruits And Vegetables,1414.55,28.99
2023-10-03,Dining Out,Cash,Coffee Shop Visit,184.77,6.66
2023-10-04,Health & Fitness,Online,Yoga Classes,429.89,19.1
2023-10-04,Subscriptions,Online,Gym Membership,2945.16,12.36
2023-10-04,Clothing,Cash,Seasonal Clothing,1975.36,64.09
2023-10-05,Transportation,Cash,Vehicle Registration Fees,786.74,47.89
2023-10-05,Entertainment,Cash,Sports Events Tickets,1449.07,28.91
2023-10-05,Travel,Cash,Car Rentals,4292.94,173.47
2023-10-05,Entertainment,Cash,Concert Tickets,2448.26,53.62
2023-10-06,Housing,Cash,HOA Fees,1568.43,56.89
2023-10-06,Health & Fitness,Cash,Medical Consultations,2412.77,204.09
2023-10-06,Housing,Online,Mortgage Payment,22036.33,158.46
2023-10-06,Subscriptions,Cash,Gaming Subscriptions,1046.36,45.16
2023-10-06,Subscriptions,Cash,Software Licenses,1835.0,36.39
2023-10-06,Dining Out,Online,Coffee Shop Visit,354.33,13.21
2023-10-07,Dining Out,Cash,Fast Food Meal,461.18,16.43
2023-10-07,Entertainment,Online,Video Games,1752.13,26.08
2023-10-07,Utilities,Cash,Water Bill,424.45,31.41
2023-10-07,Dining Out,Online,Dinner At A Restaurant,2944.87,202.78
2023-10-08,Health & Fitness,Online,Fitness Apps,285.73,15.65
2023-10-08,Entertainment,Cash,Concert Tickets,1077.36,91.13
2023-10-08,Groceries,Online,Dairy Products,1136.06,6.84
2023-10-08,Travel,Cash,Souvenirs,551.7,3.61
2023-10-08,Groceries,Online,Dairy Products,1921.33,42.95
2023-10-09,Transportation,Online,Fuel Costs,9855.42,266.83
2023-10-09,Dining Out,Online,Coffee Shop Visit,292.35,11.83
2023-10-10,Utilities,Cash,Water Bill,210.66,9.9
2023-10-10,Entertainment,Cash,Board Games,1407.43,124.41
2023-10-10,Subscriptions,Online,Streaming Services,352.07,20.53
2023-10-10,Travel,Online,Baggage Fees,1304.46,18.22
2023-10-10,Entertainment,Cash,Movie Tickets,531.39,27.83
2023-10-11,Utilities,Online,Sewer Charges,890.46,44.12
2023-10-12,Housing,Cash,Home Insurance,1107.26,5.75
2023-10-12,Clothing,Online,Formal Wear,7285.12,377.89
2023-10-12,Clothing,Cash,Work Attire,2222.97,47.92
2023-10-12,Travel,Cash,Souvenirs,1281.96,72.32
2023-10-12,Clothing,Online,Footwear,612.68,1.5
2023-10-12,Dining Out,Cash,Coffee Shop Visit,421.23,0.74
2023-10-13,Utilities,Online,Home Heating Costs,4686.71,142.71
2023-10-13,Subscriptions,Cash,Software Licenses,1708.44,127.92
2023-10-13,Groceries,Online,Meat And Fish,2060.69,127.67
2023-10-14,Utilities,Online,Gas Bill,1458.35,127.21
2023-10-14,Dining Out,Cash,Dinner At A Restaurant,905.88,82.55
2023-10-15,Transportation,Online,Parking Fees,819.23,32.94
2023-10-15,Dining Out,Online,Coffee Shop Visit,259.26,20.24
2023-10-16,Transportation,Cash,Public Transit Pass,1460.49,80.54
2023-10-16,Entertainment,Online,Board Games,1331.39,90.27
2023-10-16,Groceries,Online,Frozen Foods,1096.95,84.25
2023-10-16,Groceries,Online,Cleaning Supplies,1299.94,48.65
2023-10-17,Clothing,Cash,Footwear,1995.64,92.84
2023-10-17,Housing,Online,Rent Payment,17842.68,1636.12
2023-10-17,Health & Fitness,Cash,Nutritional Supplements,1740.24,107.93
2023-10-17,Travel,Online,Dining While Traveling,1149.23,64.88
2023-10-18,Entertainment,Cash,Sports Events Tickets,1443.27,121.15
2023-10-18,Transportation,Cash,Public Transit Pass,818.56,56.44
2023-10-18,Clothing,Cash,Seasonal Clothing,1189.38,32.09
2023-10-18,Dining Out,Online,Coffee Shop Visit,274.16,15.34
